# Kitt Peak, 1994 trace-gas abundances, generated by scripts/make_site_profile.py.
# surface 786.0 hPa / 283.0 K at 2.096 km, lapse 6.5 K/km.
# water: exponential scale height 2.0 km on a 5.0e-06 stratospheric floor, 5.00 mm vertical.
# VMR columns are moist-air volume mixing ratios, dimensionless.
pressure_top_bar,pressure_bottom_bar,temperature_k,altitude_km,mean_molecular_weight_g_mol,gravity_m_s2,H2O,CO2,CH4,N2O,CO,O2
8.72931809e-03,4.16888522e-02,216.650000,27.096000,28.964700,9.723763,5.49130209e-06,3.56998040e-04,1.71999055e-06,3.09998298e-07,9.99994509e-08,2.09498850e-01
4.16888522e-02,1.06773708e-01,216.650000,19.096000,28.964700,9.748126,1.26668168e-05,3.56995478e-04,1.71997821e-06,3.09996073e-07,9.99987333e-08,2.09497346e-01
1.06773708e-01,2.00052145e-01,216.650000,14.096000,28.964700,9.763399,4.76299187e-05,3.56982996e-04,1.71991808e-06,3.09985235e-07,9.99952370e-08,2.09490022e-01
2.00052145e-01,3.13363019e-01,227.750000,10.596000,28.964700,9.774111,1.54814343e-04,3.56944731e-04,1.71973372e-06,3.09952008e-07,9.99845186e-08,2.09467566e-01
3.13363019e-01,4.14362669e-01,244.000000,8.096000,28.964700,9.781774,3.95390550e-04,3.56858846e-04,1.71931993e-06,3.09877429e-07,9.99604609e-08,2.09417166e-01
4.14362669e-01,4.99651002e-01,255.050000,6.396000,28.964700,9.786989,7.61861047e-04,3.56728016e-04,1.71868960e-06,3.09763823e-07,9.99238139e-08,2.09340390e-01
4.99651002e-01,5.68883672e-01,262.850000,5.196000,28.964700,9.790674,1.21850106e-03,3.56564995e-04,1.71790418e-06,3.09622265e-07,9.98781499e-08,2.09244724e-01
5.68883672e-01,6.29707477e-01,268.700000,4.296000,28.964700,9.793438,1.73825708e-03,3.56379442e-04,1.71701020e-06,3.09461140e-07,9.98261743e-08,2.09135835e-01
6.29707477e-01,6.78705139e-01,273.250000,3.596000,28.964700,9.795589,2.29522296e-03,3.56180605e-04,1.71605222e-06,3.09288481e-07,9.97704777e-08,2.09019151e-01
6.78705139e-01,7.21861645e-01,276.825000,3.046000,28.964700,9.797280,2.85808594e-03,3.55979663e-04,1.71508409e-06,3.09113993e-07,9.97141914e-08,2.08901231e-01
7.21861645e-01,7.57968557e-01,279.750000,2.596000,28.964700,9.798663,3.42184552e-03,3.55778401e-04,1.71411443e-06,3.08939228e-07,9.96578154e-08,2.08783123e-01
7.57968557e-01,7.86000000e-01,282.025000,2.246000,28.964700,9.799739,3.93752009e-03,3.55594305e-04,1.71322747e-06,3.08779369e-07,9.96062480e-08,2.08675090e-01
